Clave ,Descripci—n ,L’nea ,Unidad de entrada ,Fecha de œltima compra ,Fecha de œltima venta ,Existencias 
0603LAB, 0603 BANQUITO NEG. ESTRUC. P. NEGRO,NT  E,PIEZA,24/05/17,24/01/18,1
0605LAB,0605 BANQUITO AZ. ESTRUC. ALUMINIO,NT  E,PIEZA,13/03/17,19/09/17,0
06LAB,06 BANQUITO AZUL. ESTRUCT. PINT. NEGRA,NT  E,PIEZA,24/05/17,,1
10AHA0LYLS,PC LENOVO THINKCENTER M83 INTEL CI5444,GC  A,Pieza,05/09/14,08/09/14,0
ABACO1,ABACO PLASTICO BACO 1005 CHICO,U   F,PIEZA,28/07/14,05/10/15,0
ABACO2,ABACO PLASTICO BACO 1010 GRANDE,U   F,PIEZA,28/07/14,22/08/15,0
ABREC01,ABRECARTAS MAPED METAL,OA  C,PIEZA,14/06/13,28/05/14,0
ACCESORIO,ACCESORIOS SILLAS,U   F,PIEZA,28/02/17,19/02/10,0
ACCMUEB01,PASACABLES PARA ESCRITORIO,MICH,PIEZA,31/01/18,31/07/17,15
ACEITE1,ACEITE OLIVA BERTOLLI CLASSICO 500 ml,U   F,PIEZA,05/06/15,08/06/15,0
ACEITE8,ACEITE OLIVA CARAPELLI 750 ML,U   F,PIEZA,17/08/15,17/08/15,0
ACEITE9,ACEITE OLIVA CARBONELL EXTRA 250ml,U   F,PIEZA,10/05/16,11/05/16,0
ACERCA1,ARTICULOS DE PAPELERIA,U   F,No aplica,,24/02/15,0
ACERCA2,ARTICULOS DE LIMPIEZA FABULOSO MAR FRESC,U   F,No aplica,,11/09/15,0
ACERCA3,TONER DELL CE390AC,U   F,No aplica,,05/12/14,0
ACERCA4,ARTICULOS DE ALMACENAMIENTO USB Y DVD«S,U   F,No aplica,,05/12/14,0
ACET01,ACETATO IMPERIAL T/CARTA C/100,OB  C,PIEZA,03/12/15,19/02/10,3
ACET01H,ACETATO T/ CARTA,OB  C,Pieza,,19/02/10,0
ACET02,ACET INK-JET CTA KRONA C/50 P/IMP,OB  C,PIEZA,24/07/12,27/07/12,0
ACET03,ACETATO STRIKE ISI CARTA C/100,OB  C,PIEZA,21/08/02,19/02/10,1
ACORL001,ARCHIF CARTON LFC MEMO 1AFM,OF  C,PIEZA,13/02/13,21/06/14,0
ACORL01,ARCHIF CARTON LFC ESQUELA,OF  C,PIEZA,17/11/12,07/08/12,0
ACORL02,ARCHIF CARTON LFC CARTA 4AFC,OF  C,PIEZA,15/09/17,04/04/18,0
ACORL03,ARCHIF CARTON LFC OF 5AFO,OF  C,PIEZA,07/11/17,24/01/18,0
ACORL03A,ARCHIF T/CHEQUE KINARY C/13DIV,OF  C,PIEZA,25/07/11,26/07/11,0
ACORL04,ARCHIFUELLE OF PENDAFLEX P20E C/19DIV,OF  C,PIEZA,14/02/18,20/01/18,2
ACORL07,ARCHIF F159BK T/CHEQUE EXP.OXFORD,OF  C,PIEZA,16/05/14,12/08/14,0
ACORL10,ARCHIF PLAST CTA F107 ESSELTE,OF  C,PIEZA,18/12/17,18/12/17,0
ACORL11,ARCHIF PLAST CTA F136 ESSELTE C/ASA HUMO,OF  C,PIEZA,15/04/13,02/10/12,0
ACORL13T,64122 ARCHIVERO EXP. 13 DIV,OF  C,PIEZA,20/02/17,08/04/17,0
ACORL14,ARCHIF EXP 13 DIV T/CARTA OD,OF  C,PIEZA,09/05/13,10/05/13,0
ACORL14.1,SKU 68310 ARCHIV. EXP. 13 DIV. MINI,DEPOT,PIEZA,21/05/02,07/03/18,1
ACORL15,22984 ARCHIV 19 DIV TAM C/O C/ASA NGO OD,DEPOT,PIEZA,22/08/02,24/01/18,0
ACORL17,ARCHIF ESSELTE F-103 T/C PLASTICO C/ASA,OF  C,PIEZA,05/10/15,06/10/15,0
ACORL19,ARCHIF PLAST MEMO F159 ESSELTE AZUL,OF  C,PIEZA,11/01/16,02/05/16,0
ACORL23A,ARCHIF CHEQUE PLASTICO MAE MCH-12,OF  C,PIEZA,19/05/14,06/09/14,0
ACORL24V,ARCHIF EXPAND P/CHEQ Y DCTOS 24 Div,OF  C,PIEZA,25/09/12,18/10/12,0
ACORL27,ARCHIF KCH-12CS T/CHEQ MAE COLOR SEN,OF  C,PIEZA,20/07/15,02/03/16,0
ACORL27B,ARCHIF ACME X5N OFICIO C/5,OF  C,PIEZA,18/11/17,11/11/17,5
ACORL28,ARCHIF A4-12CS T/C MAE COLOR SENSES,OF  C,PIEZA,11/11/15,13/11/15,0
ACORL28A,ARCHIF MAE FABRIC KA4-12 T/C,OF  C,PIEZA,03/03/18,05/04/18,3
ACORL28B,ARCHIF MAE FABRIC FC-12CS OFIC,OF  C,PIEZA,23/06/15,03/08/15,0
ACORL29,ARCHIFUELLE T/O MAE KFC-12,OF  C,PIEZA,30/10/17,12/02/18,4
ACORL30,ARCHIF MAE SL-1 T/CARTA LIGA,OF  C,PIEZA,14/11/12,16/11/12,0
ACORL33,ARCHIF PLAST OF F115 ESSELTE C/ASA,OF  C,PIEZA,20/08/15,17/06/10,0
ACORLX4N,ARCHIF CTA ACME X4N C/5 DIV,OF  C,PIEZA,03/03/18,04/04/18,9
ACRI1051,ACRILETA 1051 EJECUTIVA 150 X 120,OC  C,PIEZA,29/05/17,30/05/17,0
ACRIL01,ACRILETA 90 x120 CUADRADA P/ALFROMBRA,DEPOT,PIEZA,14/02/18,16/02/18,1
ACRIL07,ACRILETA RIGIDA OPCA 1.80x1.20,OC  C,PIEZA,11/10/12,17/10/12,0
ACUA01,ACUARELA INFANTIL PELIKAN JR C/12 PLASTI,OD  C,PIEZA,12/03/18,14/03/18,6
ACUA03,ACUARELA INFANTIL PELIKAN C/6 CARTON,OD  C,PIEZA,19/08/15,17/03/16,0
ACUA04,ACUARELA ESCOLAR BACO C/6,OD  C,PIEZA,28/05/15,29/05/15,0
ACUA05,ACUARELA BARRI C/8 AC8G EST PLAST PINCEL,OD  C,PIEZA,11/07/13,,0
ACUA05A,ACUA BARR AC8E EST.C/8 PLAST Y PINCEL,OD  C,PIEZA,17/03/17,24/03/17,0
ACUADIX12,ACUARELA VINCI CARTON C/12,OD  C,PIEZA,29/02/16,16/03/16,0
ACUAPEL12,ACUAELA INF PELIKAN C/12 PAST Y PINCEL,OD  C,PIEZA,10/04/15,14/04/15,0
ACUASH12,ACUARELA SUNSHINE C/12 ESTUCHO PLASTICO,OD  C,Pieza,16/10/14,21/10/14,0
AD25A35S,ADAPTADOR JACK 2.5mm A PLUG 3.5mm ESTERE,ID  F,Pieza,06/05/14,22/05/14,0
ADAP01,ADAPTADOR PARA MANIVELA ALDO,MA  A,PIEZA,20/08/14,,0
ADAP02,ADAPTADOR USB A SERIAL DB9 DE 1.8M C/SOF,IA  F,PIEZA,17/08/17,17/08/17,0
ADAP53,ADAPTADOR OTAC-E53 19V/4.74 +USB,IA  F,PIEZA,28/11/14,28/11/14,0
ADAP530,ADAPTADOR P/LAPTOP HP530 OVALTECH,IA  F,PIEZA,24/09/15,,0
ADAP662,ADAPTADOR AC BROTHER PJ662,IA  F,PIEZA,13/08/15,13/08/15,0
ADAP710,710-ACDC ADAPTADOR P/DESP AUTOMATICO JOF,IA  F,PIEZA,24/04/15,30/04/15,0
ADAPC100,ADAPTADOR DE PODER EQ VOZ CISCO AC-754,IA  F,PIEZA,24/05/17,23/05/17,0
ADAPMA2,"ADAPTADOR ""Y"" DE USB A MINIDIN USB-560",IA  F,PIEZA,04/07/12,19/02/10,1
ADAPQCAST,ADAPTADOR BENQ CAST 1280X720 WIRELESS,FH  C,PIEZA,11/08/17,11/08/17,0
ADAPT03,ADAPTADOR USB A PARALELO DE 1.8M C/SOFTW,IA  F,PIEZA,10/07/17,30/01/18,4
ADAPT04,ADAPT PARA LETRERO CON MARCO,U   F,PIEZA,29/06/15,04/03/15,0
AGEAB2020,AGENDA EJEC FORTEC AE-2020,OE  C,PIEZA,23/11/12,24/11/12,0
AGEAVA01,AGENDA AVANTE LIBRETA LD-01 ECO,OE  C,Pieza,03/12/16,19/02/10,0
AGEAVA1,AGENDA MEMORANDUM A10 AVANTE,OE  C,PIEZA,01/11/17,05/04/18,4
AGEAVA13,AGENDA  AVANTE  A-13 MEMO FLEX,OE  C,PIEZA,25/09/17,28/09/17,4
AGEAVA14,AGENDA AVANTE A-14,OE  C,PIEZA,25/09/17,12/10/17,1
AGEAVA2,AGENDA A-11 AVANTE MEMO CLASICA,OE  C,PIEZA,19/12/17,27/01/18,3
AGEAVA3,AGENDA EJECUTIVA A30 AVANTE STD,OE  C,PIEZA,09/02/18,10/02/18,5
AGEAVA34,AGENDA AVANTE A-34 EJEC PRINT,OE  C,PIEZA,03/01/18,18/01/18,0
AGEAVA4,AGENDA BOLSILLO A-01 AVANTE,OE  C,PIEZA,15/11/13,13/03/15,0
AGEAVA42,AGENDA AVANTE A-42 TIPO CHEQUERA,OE  C,PIEZA,25/09/17,12/10/17,2
AGEAVA51,AGENDA AVANTE A-51 ESPA„OLA PRINT,OE  C,PIEZA,04/12/17,16/03/18,10
AGEAVA52,AGENDA AVANTE A-52 ESPA„A,OE  C,PIEZA,25/09/17,19/02/10,2
AGEAVA61,AGENDA  AVANTE A-61 CARTA PRINT,OE  C,PIEZA,19/12/17,31/01/18,0
AGEAVA8B,AGENDA ESPA„OLA AVANTE A-53,OE  C,PIEZA,15/12/17,12/02/18,6
AGEHA35,AGENDA HAZEL 358 BOLSILLO LUJO,OE  C,PIEZA,21/01/13,06/12/11,0
AGENA12,AGENDA AVANTE A-12 MADRID,OE  C,PIEZA,08/01/18,14/02/18,2
AGENA16,AGENDA AVANTE A-16 MEMO STRIP,OE  C,PIEZA,23/10/17,26/10/17,0
AGENA31,AGENDA A-31 AVANTE,OE  C,PIEZA,11/01/18,10/02/18,1
AGENA33,AGENDA  AVANTE A-33 EJECUTIVA,OE  C,PIEZA,11/01/18,18/01/18,0
AGENA503,AGENDA A-503 BOLSILLO AMERICA,OE  C,PIEZA,03/12/14,28/04/15,0
AGENA54,AGENDA AVANTE A-54 ITALY,OE  C,PIEZA,08/01/18,06/02/18,2
AGENA62,AGENDA AVANTE A-62 PRESTIGE,OE  C,PIEZA,23/10/17,26/10/17,0
AGENAT3,AGENDA EJECUTIVA 359 LUJO ATAPCO,OE  C,PIEZA,03/12/14,18/03/15,0
AGENAT4,AGENDA EJECUTIVO 360 ATAPCO 22x20c,OE  C,PIEZA,11/01/16,05/02/16,0
AGENAT8,AGENDA CAJA AVANTE A-20,OE  C,PIEZA,11/01/18,12/01/18,1
AGENAT9,AGENDA AVANTE A-41 INGL,OE  C,PIEZA,07/11/17,27/11/17,1
AGENF1160,AGENDA FORTEC ADM-1160 FIUSHA,OE  C,PIEZA,16/01/12,18/01/12,0
AGENF1161,AGENDA FORTEC ADM-1161 NARANJA,OE  C,PIEZA,16/01/12,18/01/12,0
AGENJUM,CALENDARIO JUMBO AMERICA,OE  C,PIEZA,09/01/18,03/03/18,22
AGENJUN,AGENDA JUMBO P/BASE 2018 BLANCA,OE  C,Pieza,26/02/18,05/03/18,4
AGUAB1,AGUA 24/250ML,EA  E,PIEZA,20/08/13,,0
AGUAB2,AGUA BONAFON 600ML C/24,EA  E,PIEZA,22/03/17,23/03/17,0
AGUABB,AGUA EMBOTELLADA 500 mls,EB  E,PIEZA,30/07/15,,0
AICOM06,AIRE COMPRIMIDO PC30300 340GRS,GA  A,PIEZA,03/04/18,05/04/18,35
ALFIM03,ALFILER MAPA GYC COLOR,OEG C,PIEZA,29/03/10,22/09/05,0
ALFIM05,PINS PARA CORCHO MAE PP-100T C/100,OEG C,PIEZA,24/02/18,24/03/18,24
ALFIM05A,PINS PARA CORCHO MAE PP-100,PESPE,Pieza,04/10/17,04/04/18,3
ALFIMA0,ALFILER ABEL MAP PINS  ALFIPON,OEG C,CAJA,05/12/11,08/06/12,0
ALFIMA1,ALFILER MAPAS PUSH PING ACCO,OEG C,PIEZA,08/01/16,14/01/16,0
ALFIMA1A,ALFILER MAPAS ACCO P1167 PUSH PING,OEG C,PIEZA,10/09/12,03/06/13,0
ALFIMA2,PINS ACME PIN13 COL. SURTIDOS C/100,OEG C,PIEZA,08/04/14,18/05/15,0
ALIMKTCAT,ALIMENTO PARA MASCOTA (GATO),U   F,KILO,25/05/16,25/05/16,0
ALIMKTDOG,ALIMENTO PARA MASCOTA (PERRO),U   F,KILO,23/12/16,19/02/10,0
ALIMKTS01P,ALIMENTO PARA GATO WIHSKAS 85G,U   F,PIEZA,30/11/15,21/12/15,0
ALIMKTS02P,ALIMENTO PARA PERRO,U   F,PIEZA,30/11/15,21/12/15,0
ALMOHADASTD,ALMOHADA DECORADORA STD,SA  F,PIEZA,08/05/12,08/05/12,0
ALUMI01,ALUMINIO ALUHOME 45X150 MTS,ODM D,PIEZA,11/04/13,16/04/13,0
ALUMI02,ROLLO DE PAPEL ALUMINIO 50MTS,ODM D,PIEZA,01/11/12,07/11/12,0
ALUMI03,ALUMINIO DE HOJA C/500 PZAS,ODM D,PIEZA,11/04/13,16/04/13,0
ALUMI04,ALUMINIO 30X400MTS 3KILOS INIX,ODM D,PIEZA,15/04/13,16/04/13,0
ALUMI05,ALUMINIO ECONOMICO CHUTY 50 MTS.,ODM D,Pieza,24/02/14,03/03/14,0
ALUMI05B,ALUMINIO ECONOMICO CHUTY 100 MT,ODM D,Pieza,13/10/14,28/10/14,0
ALUMI06,PAPEL ALUMINIO ROLLO 400,ODM D,PIEZA,10/12/15,19/02/10,1
ANAQ00,ANAQUEL 30X85X2.00 C/5 ENT CAL.28-20,NA  F,PIEZA,22/01/18,14/03/18,1
ANAQ001,ANAQUEL 30X85X180 C/5 CAL 20-14,NA  F,PIEZA,25/04/14,29/04/14,0
ANAQ003,ANAQUEL 30X85X200  C/5 C/PESADA,NA  F,PIEZA,24/02/16,02/03/16,0
ANAQ004,ANAQUEL 30X85X220 C/4 C/LIVIANA,NA  F,PIEZA,08/05/17,11/05/17,0
ANAQ005,ANAQUEL 40X85X220  E C-28,NA  F,PIEZA,04/09/12,11/09/12,0
ANAQ006,ANAQUEL 40X85X220 C/6 CAL22,NA  F,PIEZA,20/08/15,28/08/17,0
ANAQ007,ANAQUEL 40X85X220 C/7 E CAL-14,NA  F,PIEZA,16/05/16,18/05/16,0
ANAQ009,ANAQUEL 40X85X200 C/5E CAL.26-20 LIGERO,NA  F,PIEZA,19/10/17,23/10/17,0
ANAQ01,ANAQUEL 30X85X2.20 C/6 C-28,NA  F,PIEZA,28/02/12,07/03/12,0
ANAQ010,ANAQUEL 30X85X200 C/5 ENT C/LIV,NA  F,PIEZA,06/12/17,04/04/18,1
ANAQ010.,ANAQUEL 30X85X200 C/5 ENT CAL 20-14,NA  F,PIEZA,06/12/17,08/12/17,0
ANAQ011,ANAQUEL 220 C/5 E C/22 P14,NA  F,PIEZA,21/07/11,,0
ANAQ012,ANAQUEL 45X85X200 C/6 C/24,NA  F,PIEZA,15/03/12,15/03/12,0
ANAQ013,ANAQUEL 45X85X200 C9 E C/24 P18,NA  F,PIEZA,15/03/12,15/03/12,0
ANAQ014,ANAQUEL 45X85X180C/4 CAL-20-14,NA  F,PIEZA,21/05/15,22/05/15,0
ANAQ015,ANAQUEL 30X85X180 C/6 ENT CAL.2002-14,NA  F,PIEZA,26/04/16,14/05/15,0
ANAQ016,ANAQUEL 30X85X2.00 C/6 C/LIVIANA,NA  F,PIEZA,13/05/16,27/05/16,0
ANAQ017,ANAQUEL 40X85X200 C/5 E CAL. 22-14,NA  F,Pieza,17/03/18,09/03/17,4
ANAQ05,ANAQUEL 45X85X200 C/5 E CAL.20-14,NA  F,PIEZA,02/02/18,03/02/18,0
ANAQ18,ANAQUEL DE 60x85x1.80 C/4 E CAL 22-14,NA  F,Pieza,07/09/17,05/01/18,0
ANAQ19,ANAQUEL DE 60x85x1.80 C/5 E CAL 26-18,NA  F,Pieza,07/09/17,15/09/17,0
ANAQ20,ANAQUEL 45X85X220 C/5 CAL.22-14,NA  F,PIEZA,17/03/18,25/09/17,0
ANAQ21,ANAQUEL 40X85X120 C/3 E CAL.26-18,NA  F,PIEZA,05/12/17,,0
ANAQ22,ANAQUEL 45X85X180 C/4 E CAL 22-14,NA  F,PIEZA,20/02/18,,2
ANAQ60,ANAQUEL 60X85X180 C/5 C/PESADA POSTE14,NA  F,PIEZA,30/08/17,01/09/17,0
ANAQ60A,ANAQUEL 60X85X180 C/6 CAL 26-18,NA  F,PIEZA,06/09/17,05/01/18,0
