Clave del artículo,Descripción del artículo,Línea,Unidad de entrada,Fecha de última compra,Fecha de última venta,Existencias, Precio 
0603LAB, 0603 BANQUITO NEG. ESTRUC. P. NEGRO,NT  E,PIEZA,24/05/17,24/01/18,1, $506.01 
0605LAB,0605 BANQUITO AZ. ESTRUC. ALUMINIO,NT  E,PIEZA,13/03/17,19/09/17,0, $506.01 
06LAB,06 BANQUITO AZUL. ESTRUCT. PINT. NEGRA,NT  E,PIEZA,24/05/17,,1, $506.01 
10AHA0LYLS,PC LENOVO THINKCENTER M83 INTEL CI5444,GC  A,Pieza,05/09/14,08/09/14,0," $12,899.83 "
ABACO1,ABACO PLASTICO BACO 1005 CHICO,U   F,PIEZA,28/07/14,05/10/15,0, $17.99 
ABACO2,ABACO PLASTICO BACO 1010 GRANDE,U   F,PIEZA,28/07/14,22/08/15,0, $38.00 
ABREC01,ABRECARTAS MAPED METAL,OA  C,PIEZA,14/06/13,28/05/14,0, $24.15 
ACCESORIO,ACCESORIOS SILLAS,U   F,PIEZA,28/02/17,19/02/10,0, $90.25 
ACCMUEB01,PASACABLES PARA ESCRITORIO,MICH,PIEZA,31/01/18,31/07/17,15, $-   
ACEITE1,ACEITE OLIVA BERTOLLI CLASSICO 500 ml,U   F,PIEZA,05/06/15,08/06/15,0, $161.50 
ACEITE8,ACEITE OLIVA CARAPELLI 750 ML,U   F,PIEZA,17/08/15,17/08/15,0, $256.50 
ACEITE9,ACEITE OLIVA CARBONELL EXTRA 250ml,U   F,PIEZA,10/05/16,11/05/16,0, $111.15 
ACERCA1,ARTICULOS DE PAPELERIA,U   F,No aplica,,24/02/15,0, $-   
ACERCA2,ARTICULOS DE LIMPIEZA FABULOSO MAR FRESC,U   F,No aplica,,11/09/15,0, $-   
ACERCA3,TONER DELL CE390AC,U   F,No aplica,,05/12/14,0, $-   
ACERCA4,ARTICULOS DE ALMACENAMIENTO USB Y DVD´S,U   F,No aplica,,05/12/14,0, $-   
ACET01,ACETATO IMPERIAL T/CARTA C/100,OB  C,PIEZA,03/12/15,19/02/10,3, $125.47 
ACET01H,ACETATO T/ CARTA,OB  C,Pieza,,19/02/10,0, $35.06 
ACET02,ACET INK-JET CTA KRONA C/50 P/IMP,OB  C,PIEZA,24/07/12,27/07/12,0, $227.92 
ACET03,ACETATO STRIKE ISI CARTA C/100,OB  C,PIEZA,21/08/02,19/02/10,1, $91.87 
ACORL001,ARCHIF CARTON LFC MEMO 1AFM,OF  C,PIEZA,13/02/13,21/06/14,0, $172.39 
ACORL01,ARCHIF CARTON LFC ESQUELA,OF  C,PIEZA,17/11/12,07/08/12,0, $158.19 
ACORL02,ARCHIF CARTON LFC CARTA 4AFC,OF  C,PIEZA,15/09/17,04/04/18,1, $192.19 
ACORL03,ARCHIF CARTON LFC OF 5AFO,OF  C,PIEZA,07/11/17,24/01/18,0, $210.67 
ACORL03A,ARCHIF T/CHEQUE KINARY C/13DIV,OF  C,PIEZA,25/07/11,26/07/11,0, $43.12 
ACORL04,ARCHIFUELLE OF PENDAFLEX P20E C/19DIV,OF  C,PIEZA,16/04/18,09/05/18,3, $224.22 
ACORL07,ARCHIF F159BK T/CHEQUE EXP.OXFORD,OF  C,PIEZA,16/05/14,12/08/14,0, $41.93 
ACORL10,ARCHIF PLAST CTA F107 ESSELTE,OF  C,PIEZA,18/12/17,18/12/17,0, $301.22 
ACORL11,ARCHIF PLAST CTA F136 ESSELTE C/ASA HUMO,OF  C,PIEZA,15/04/13,02/10/12,0, $85.69 
ACORL13T,64122 ARCHIVERO EXP. 13 DIV,OF  C,PIEZA,20/02/17,08/04/17,0, $119.48 
ACORL14,ARCHIF EXP 13 DIV T/CARTA OD,OF  C,PIEZA,09/05/13,10/05/13,0, $91.60 
ACORL14.1,SKU 68310 ARCHIV. EXP. 13 DIV. MINI,DEPOT,PIEZA,21/05/02,07/03/18,1, $50.43 
ACORL15,22984 ARCHIV 19 DIV TAM C/O C/ASA NGO OD,DEPOT,PIEZA,22/08/02,24/01/18,0, $196.98 
ACORL17,ARCHIF ESSELTE F-103 T/C PLASTICO C/ASA,OF  C,PIEZA,05/10/15,06/10/15,0, $161.39 
